,feature_name,count
0,V_OnsetVL,50
1,H_MCHC,46
2,H_HCT,11
3,H_LYM,15
4,H_MCV,17
5,C_CRE,1
6,C_GLU,41
7,C_UA,34
8,H_MCH,19
9,H_MONO,13
10,H_PMN,27
11,C_ALT,4
12,C_AST,16
13,C_TBIL,8
14,H_PLT,5
15,C_ALP,3
16,H_WBC,2
17,H_EOSIN,8
18,C_TP,3
19,H_RBC,2
20,C_CA,10
21,C_ALB,3
22,C_GGT,4
23,H_BASOP,2
24,C_BUN,1
25,U_PH,1
