,feature_name,count
0,H_WBC,35
1,H_MONO,50
2,H_LYM,50
3,C_AST,37
4,H_EOSIN,24
5,C_GLU,21
6,C_GGT,19
7,H_HCT,4
8,V_OnsetVL,14
9,H_MCH,7
10,C_AMY,7
11,C_ALB,10
12,C_ALP,3
13,C_TBIL,3
14,H_RBC,8
15,H_MCV,2
16,U_NIT,1
17,H_PLT,4
18,H_PMN,10
19,H_MCHC,4
20,C_ALT,3
21,C_BUN,4
22,C_CRE,2
23,C_TP,1
